score,text
1, FULL TIME Chelsea Palace Wilfried Zaha amp Christian Benteke give a fouh consecutive win and check Chels u 
-1, MINUTES TOO LATE FOR LOFTUS CHEEK TO COME ON FUCK OFF CONTE t co iavZGXgkRf 
0, SCORE AND TIME checry 
1, Full time Great result
-1, seconds between our goals Let s not mess this up now cpfc 
-1, NOPE nIT S OVER nYOU LOST TO PALACE HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA 
0, Benteke just owned David Luiz u s life I don u t think he u s ever sprinted that long in his career CHECRY t co X py md z 
0, Hard luck is the definition t co HdfQvY WvS 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
-2, Damn you and you useless ud d ude 
-1, Goal FABREGAS nAssist HAZARD n nChelsea Palace mins FPL CHECRY 
2, Brilliant result at the bridge Thank you 
-1, GOALLLL Crystal Palace ahead as Christian Benteke scoops the ball over the over Couois HUGE shock is on CHECR u 
1, Alonso should never take free kicks 
0, Diego Costa melanggar Sakho Kau kuning CHECRY 
0, ud d ude a ud d ude a ud d ude a t co hwmpKnthzb 
0, ud d ude ud d ude ud d ude 
0, mins t co EozVK utFb 
0, u a GOL u a rompe el cero
0, Antonio Conte s plan without Victor Moses could be a CFC CHECRY t co NvNyqvv i 
1, Amazing t co ER CVz sz 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
0, Lmao t co TE HleA Dc 
0, Wayne Hennessy at goal for palace
0, CHECRY Quel match de Mamadou Sakho Tacle salvateur devant Michy d u e gagement in extremis devant la ligne I u 
1, Benteke with no respect ud d ude CHECRY n n t co AvQm HCUcI 
0, GOAL CHEPAL t co FsUypfSyf 
0, CHECRY BUT POUR CRYSTAL PALACE Exceptionnel ud d udd ud d udd ud d udd Servi par Zaha
0, ud d ude t co Q qi B q 
0, That s me pissed off for the rest of the day ud d udc d ud c udffd t co hzmW Nf nC 
0, is playing a really mean April Fools joke on right now I don t think the CP defense can last much longer 
0, Team Statistics nChelsea Crystal Palace n CHECRY t co PJZjm joOq 
0, Oh lool didn t see that That explains it 
1, Irrespective of who wins I think the man of the match should go to Hennessey CHECRY 
0, CrystalHotspur t co EEJDOz B 
0, Bit late 
0, u bd ufe f ud d udd ud d ude GOLA u c O DO u b n x u b AO VIVO na ESPN Brasil e WatchESPN t co HXwmFftqAs u 
0, CHECRY Quel match de Mamadou Sakho Tacle salvateur devant Michy d u e gagement in extremis devant la ligne I u 
0, GOAL Chelsea Palace n nWhat a sta to this game n nBenteke puts cpfc ahead with a cheeky dink u 
-1, checry Sakho dites tout ce que vous voulez mais c est un monstre ud d udcaa ud c udffd t co cBvEndDLq 
0, Siaran di BeiN Spos ya t co roobb MeE 
0, ASSIST u caNCIA DO HAAAAAAZARD amp u a u a u a t co S CBvUyJGT 
0, Wilfried Zaha has been a constant thorn in the Palace side all game It s getting on my nerves CHECRY 
-1, Woow April fool or something t co VIGwtZXIvc 
0, Class finish t co osvOGo Yi 
0, GG t co HeuFU Prbq 
-2, what the fuck is wrong with referee n CHECRY 
1, ud d ude cFOUR WINS ON THE SPIN t co lDc UFciB 
2, Thank you as well 
1, WOW 
0, CHECRY t co VZ VbLcCy 
0, APRIL FOOLS FOLKS t co GnLcH ojiu 
-1, What hell is going on 
0, Lol try on Monday t co rpdUrrpsfb 
0, No 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
0, CHECRY t co ZL CRef Ol congrats crystal palace 
0, LigaPremieD u a Termina el paido da la sorpresa y se impone de visita al t co FXWE ezxgn 
0, Someone get in there please Come on 
0, I fucking love this club
0, I FUCKING LOVE MY CLUB CHECRY t co ygnrwjImJ 
1, When you hear Crystal Palace lead Chelsea after minutes ud d ude CHECRY t co VlgkjoqGVL 
0, GOAL CHEPAL t co FsUypfSyf 
-2, How bad has Diego Costa been all throughout the match against Crystal Palace Absolutely appalling ud d udc e ud d udc e ud d udc e CHECRY CFC Chelsea Zaha EPL 
-2, Disgusting corrupt team t co EEtLgrEhRM 
0, yoo FABREGAS t co C c d gRP 
-1, UNBELIEVABLE CHECRY t co DPQGihM Qk 
0, The Blues are out warming up at Stamford Bridge ud d udcaa t co TW grfuegs 
0, Una razon mas para amar al Chelsea t co RxVjtSMQOT 
0, CESC EQUALISES n n CHEPAL n n t co nGAj fFa 
1, HOLY FCK ABSOLUTE SCENES IF PALACE MOUNTS ON THIS t co VEM ZPaU 
1, nice april fools prank now when does the actual game sta 
0, It s getting tense at the Bridge n nIan Dennis and Mark Schwarzer are live as CPFC lead CFC n n CHECRY ud d udcfb u 
-1, Lose or Draw CHECRY 
0, PALACE HAVE DONE IT CHECRY 
0, What was last time Alonso was on target 
0, pour Palace Chelsea fait n impoe quoi CHECRY 
0, Already t co DBQnmly mJ 
0, ud d udcaa ud c udffb ud d udcaa ud c udffb ud d udcaa ud c udffb 
3, Wooooowwwwwwww just wow like wow 
1, Benteke with the chip to Palace just like that CPFC CHECRY 
0, Je suis moe l arbitre veut pas stopper le match on est u e checry 
0, En Vivo PremierLeague n Chelsea CrystalPalace n u a Gool de Benteke anota n t co WAHD RY Hg t co PdcbGbbizc 
-1, Oh How I ve missed you so 
1, I don t like you lot looooool palace at home 
0, in action at the Bridge as we enter into the final minutes It remains to Palace n nCOME ON CHE u 
0, ud e udd ud c udffc u d u ufe f t co hNrvwsKXzM 
0, Wake up 
0, Ooh gosh benteke has a Magnet on his chest checry CrystalPalace 
0, I fucking love Sako already ud d udd ud d udd ud d udd t co XoaHdKFEtc 
0, GOAL CHEPAL t co FsUypfSyf 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
0, Conte out 
0, Si el gana de los paidos ya es el campe u f n de la ud d ude c ud d ude c ud d ude c 
-1, I don t need this headache 
-1, Parking the bus my god Cmon Break it 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
0, Gaziiiiiii ud d udcaa ud d udcaa ud d udcaa ud d udcaa ud d udcaa ud d udcaa 
0, Never thought I d see you thanking God for Willian to come on t co WvY rPsUN 
-1, On April fool s day Benteke turned to Ronaldo amp it s not even a prank CheCry t co Do o aP n 
0, it s just a matter of time before Chelsea equalise
-1, Unbelievable Jeff cpfc u ud d udc t co I ornXWsFL 
1, He loves to score against us
